ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
2.085072193,8.694744912,-1.421016757,-7.01166562,12/01/2016,-0.00061729,-0.009908342,1,0.904761905,1,-0.00061729,0.001259737,0.021839462,
2.083591548,8.615611693,-1.414106459,-7.072277493,13/01/2016,0.001446097,-0.006620017,1,0.904761905,1,0.001446097,0.002705834,0.023285559,
2.057461286,8.600379692,-2.506343773,-7.170659635,14/01/2016,-0.000892667,-0.005569256,1,0.904761905,1,-0.000892667,0.001813167,0.022392892,
2.005112191,10.13664558,-3.621759578,-7.298204484,15/01/2016,0.002721555,-0.00431912,1,0.904761905,1,0.002721555,0.004534722,0.025114447,
1.856038176,9.81834893,-3.475578417,-7.636519472,18/01/2016,-0.000151903,-0.003637391,1,0.904761905,1,-0.000151903,0.004382819,0.024962544,
1.766866818,10.24033517,-3.474070361,-7.767135456,19/01/2016,-0.000974942,-0.003616262,1,0.904761905,1,-0.000974942,0.003407877,0.023987602,
1.674170286,12.32591683,-4.932293244,-7.950429845,20/01/2016,0.000953686,-0.005318035,1,0.904761905,1,0.000953686,0.004361563,0.024941288,
1.563763593,12.50754567,-5.387295775,-8.126142496,21/01/2016,0.000870647,-0.00654944,1,0.904761905,1,0.000870647,0.00523221,0.025811935,
1.443911166,8.920021221,-7.001659775,-8.352520344,22/01/2016,0.003117193,-0.00768135,1,0.904761905,1,0.003117193,0.008349403,0.028929128,
1.096140957,7.790856618,-7.240877168,-8.979159886,25/01/2016,0.000546516,-0.008776684,1,0.904761905,1,0.000546516,0.008895919,0.029475644,
0.997228154,7.504072198,-6.962864675,-9.147643431,26/01/2016,0.000671963,-0.008148818,1,0.904761905,1,0.000671963,0.009567882,0.030147607,
0.913572908,6.072772585,-5.889744956,-9.270478622,27/01/2016,-0.000774651,-0.00616103,1,0.904761905,1,-0.000774651,0.008793231,0.029372956,
0.803544005,7.38899869,-9.37717869,-9.506618042,28/01/2016,-0.001225381,-0.007891226,1,0.904761905,1,-0.001225381,0.00756785,0.028147575,
