ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,SVM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
1.856038176,9.81834893,-3.475578417,-7.636519472,18/01/2016,-6.43E-05,-0.006318335,1,0.714285714,1,-6.43E-05,0.002460429,-0.052002112,
1.766866818,10.24033517,-3.474070361,-7.767135456,19/01/2016,0.000445565,-0.005864486,1,0.80952381,1,0.000445565,0.002905994,-0.051556547,
1.674170286,12.32591683,-4.932293244,-7.950429845,20/01/2016,-0.000974095,-0.004259074,1,0.80952381,1,-0.000974095,0.001931899,-0.052530642,
1.563763593,12.50754567,-5.387295775,-8.126142496,21/01/2016,-0.000817265,-0.005793541,1,0.80952381,1,-0.000817265,0.001114634,-0.053347907,
1.443911166,8.920021221,-7.001659775,-8.352520344,22/01/2016,-0.002729767,-0.007170355,1,0.80952381,1,-0.002729767,-0.001615133,-0.056077674,
1.096140957,7.790856618,-7.240877168,-8.979159886,25/01/2016,0.00106772,-0.007155336,1,0.80952381,1,0.00106772,-0.000547413,-0.055009954,
0.997228154,7.504072198,-6.962864675,-9.147643431,26/01/2016,-0.000138735,-0.00638525,1,0.80952381,1,-0.000138735,-0.000686148,-0.055148689,
0.913572908,6.072772585,-5.889744956,-9.270478622,27/01/2016,-0.000625749,-0.009311637,1,0.80952381,1,-0.000625749,-0.001311897,-0.055774438,
0.803544005,7.38899869,-9.37717869,-9.506618042,28/01/2016,-0.00073966,-0.012980488,1,0.80952381,1,-0.00073966,-0.002051557,-0.056514098,
0.67920712,7.511635173,-9.495599651,-9.709405812,29/01/2016,0.00190004,-0.012662107,1,0.80952381,1,0.00190004,-0.000151517,-0.054614058,
0.300452935,8.083972894,-9.081157567,-10.27198951,01/02/2016,-0.000871083,-0.012150077,-1,0.80952381,1,-0.000871083,-0.0010226,-0.055485141,
0.166365039,8.293206176,-8.908174993,-10.46627496,02/02/2016,-0.000463223,-0.008719095,-1,0.80952381,1,-0.000463223,-0.001485823,-0.055948364,
0.006930229,8.903625393,-9.10078516,-10.65466105,03/02/2016,-0.001284851,-0.005316251,-1,0.714285714,1,-0.001284851,-0.002770674,-0.057233215,
-0.190332958,9.276848147,-9.279635899,-10.84403489,04/02/2016,-0.001751761,-0.006697528,-1,0.619047619,1,-0.001751761,-0.004522435,-0.058984976,
-0.367599045,9.236918985,-9.038458846,-10.99692034,05/02/2016,0.001329083,-0.006672309,-1,0.523809524,1,0.001329083,-0.003193352,-0.057655893,
-0.839599514,8.866937407,-8.613923627,-11.38807517,08/02/2016,-0.000373054,-0.006067256,-1,0.428571429,1,-0.000373054,-0.003566406,-0.058028947,
-0.980871274,7.640094813,-9.15525489,-11.51945491,09/02/2016,-0.001119617,-0.004518159,-1,0.333333333,1,-0.001119617,-0.004686023,-0.059148564,
-1.120063535,6.837455941,-9.607026048,-11.66499471,10/02/2016,0.000315406,-0.004090547,-1,0.333333333,1,0.000315406,-0.004370617,-0.058833158,
