ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
1.20346709,11.46680782,-4.528306912,-7.303740141,07/12/2015,0.001282084,-0.040441673,1,1,1,0.001282084,-0.039039381,-0.096889858,
1.242838152,11.32699797,-3.687443679,-7.348332253,08/12/2015,-0.001578341,-0.016647606,1,1,1,-0.001578341,-0.040617722,-0.098468199,
1.291459431,11.19035444,-2.333281984,-7.341062508,09/12/2015,-0.00392444,-0.018644757,1,1,1,-0.00392444,-0.044542162,-0.102392639,
1.325583157,11.33018997,-2.195267734,-7.322408525,10/12/2015,0.002550969,-0.025650762,1,1,1,0.002550969,-0.041991193,-0.09984167,
1.384287228,11.11192604,-1.900073886,-7.259419449,11/12/2015,-0.001716607,-0.027391789,1,1,1,-0.001716607,-0.0437078,-0.101558277,
1.536724801,10.7265149,-0.910543073,-7.02649956,14/12/2015,-0.000202748,-0.006056013,1,1,1,-0.000202748,-0.043910548,-0.101761025,
1.571514692,11.19085161,-1.172283974,-6.943394748,15/12/2015,-0.016690296,-0.003070117,1,1,1,-0.016690296,-0.060600844,-0.118451321,
1.624395707,11.45315025,-1.275089841,-6.842876068,16/12/2015,-0.005690449,0.012363391,1,1,1,-0.005690449,-0.066291293,-0.12414177,
1.662776942,11.27231569,-1.166549045,-6.750819718,17/12/2015,-0.007748435,0.004422049,1,1,1,-0.007748435,-0.074039728,-0.131890205,
1.691984285,11.13969128,-1.460193272,-6.670318475,18/12/2015,0.004466822,0.001657324,1,1,1,0.004466822,-0.069572906,-0.127423383,
1.77436648,12.16935907,-2.220865485,-6.474162844,21/12/2015,0.00596986,-0.007334344,1,1,1,0.00596986,-0.063603046,-0.121453523,
1.80086993,11.76747622,-2.001490346,-6.427231121,22/12/2015,0.005936946,-0.003291576,1,1,1,0.005936946,-0.0576661,-0.115516577,
